DTXSID,name,httk_Fgutabs,httk_Clint,httk_Aven,httk_Rblood2plasma,httk_Fup,httk_days_evaluated,httk_MW,httk_frac_excreted,httk_daily_expo,httk_mg_p_kg_p_day_excreted,httk_result_category
DTXSID0021256,Sulfasalazine,0.0767,5.394,0.02981233,0.5628,0.004,5,398.4,0.00756390857142857,1.2e-6,9.076690285714284e-9,1
DTXSID0021337,Thiabendazole,0.9729,0,0.25751883,0.6754,0.1066,5,201.2,0.6067617142857143,3.38e-7,2.0508545942857144e-7,6
DTXSID0021339,Thiotepa,0.6403,22.85,2.2961999999999998e-10,0.9551,0.8804,5,189.2,0.01597388571428571,1.2e-6,1.9168662857142857e-8,1
DTXSID0021389,Trichlorfon,0.8453,33.37,3.827e-11,0.8658,0.6848,5,257.4,0.01470857142857142,1.61e-7,2.3680799999999995e-9,1
DTXSID0021414,Tris(2-ethylhexyl) phosphate,0.8661,55.16,0.022629051,0.6573,0.006757,5,434.6,0.00921972857142857,1.03e-5,9.49632042857143e-8,1
DTXSID0021834,4-Nitrophenol,0.9597,15.13,3.5457155e-6,0.6295,0.1374,5,139.1,0.03777558571428572,1.12e-5,4.230865600000001e-7,1
DTXSID0021961,Benzophenone,0.8643,12.86,0.032479749,0.6541,0.03797,5,182.2,0.03997988571428568,3.09e-4,1.2353784685714275e-5,1
DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,0.3617,248.6,0,0.6986,0.3157,5,152.1,8.821799999999992e-4,4.03e-6,3.555185399999997e-9,1
DTXSID0022563,Albendazole,0.8566,17.1,0.007864485,0.6826,0.05791,5,265.3,0.0302821,4.61e-7,1.3960048100000001e-8,1
DTXSID0022690,Bromperidol,0.8615,15.05,0.015327135,0.8526,0.04451,5,420.3,0.03362399999999999,1.2e-6,4.034879999999998e-8,1
DTXSID0022773,Ceftriaxone,0.01,22.74,0,0.5933,0.09999,5,554.6,2.66208e-4,1.2e-6,3.194495999999999e-10,1
DTXSID0022777,Celecoxib,0.9693,49.04,0.014948262,0.6434,0.01187,5,381.4,0.01221569714285714,7.27e-7,8.880811822857143e-9,1
DTXSID0022800,Chlorothiazide,0.4741,6.542,3.94181e-9,0.6235,0.231,5,295.7,0.04055314285714286,1.2e-6,4.8663771428571435e-8,1
DTXSID0022808,Chlorpromazine,1,967.3,0.0030994873,0.78,0.002428,5,318.9,6.523782857142857e-4,1.2e-6,7.828539428571428e-10,1
DTXSID0022933,Digitoxin,0.8719,0,0.10700292,0.6026,0.0635,5,765,0.6710142857142857,1.2e-6,8.052171428571428e-7,6
DTXSID0023036,Etretinate,0.8696,1023,0.05311875999999999,0.799,1.353e-4,5,354.5,2.289057142857144e-4,1.2e-6,2.7468685714285724e-10,1
DTXSID0023163,Iopromide,0.8719,0,0.0012548733,0.8579,0.99,5,791.1,0.8724702857142854,1.2e-6,1.0469643428571424e-6,6
DTXSID0023296,Methylene blue,0.9229,16.52,4.232662e-4,0.7857,0.209,5,319.8,0.03325920000000001,6.11e-7,2.0321371200000003e-8,1
DTXSID0023325,Mirtazapine,0.752,5.026,0.025445723,0.7764,0.09096,5,265.4,0.08159154285714289,1.2e-6,9.790985142857147e-8,1
DTXSID0023329,Modafinil,0.8482,25.15,2.2468317e-4,0.6154,0.06147,5,273.4,0.02062217142857143,1.2e-6,2.4746605714285722e-8,1
DTXSID0023377,Nomifensine,0.46,28.18,6.337512e-4,0.7772,0.1182,5,238.3,0.00994051428571429,1.2e-6,1.1928617142857152e-8,1
DTXSID0023581,Simvastatin,0.8658,112.6,0.014098668,0.6003,0.003469,5,418.6,0.00481988,3.4e-6,1.6387592e-8,1
DTXSID0023589,Sotalol,0.9595,6.556,1.4603832e-4,1.028,0.6192,5,272.4,0.08063039999999999,1.2e-6,9.675648e-8,1
DTXSID0023747,"2',3'-Dideoxycytidine",0.93,0,0.0409489,1.159,0.9599,5,211.2,0.926262857142857,1.06e-6,9.818386285714286e-7,6
DTXSID0023826,Isophorone diisocyanate,0.8719,0,0.10359689,0.7738,0.3046,5,222.3,0.8234627142857142,8.3e-7,6.834740528571427e-7,6
DTXSID0023870,4-Aminopyridine,0.8719,0,0.11813949,1.365,0.9989,5,94.12,0.8591811428571429,1.05e-5,9.021402e-6,6
DTXSID0023901,Bentazone,0.8719,0,0.6804406000000001,0.7079,0.02123,5,240.3,0.34568871428571424,2.21e-6,7.639720585714285e-7,4
DTXSID0023907,Benzo(b)fluoranthene,0.8713,262.2,0.4194392,10.76,1.352e-4,5,252.3,8.960254285714285e-5,2.43e-6,2.177341791428571e-10,1
DTXSID0023909,Benzo[k]fluoranthene,0.8696,1023,0.07301916,0.8296,1.36e-4,5,252.3,2.158967142857142e-4,5.37e-6,1.1593653557142851e-9,1
DTXSID0023951,Carboxin,0.947,27.75,2.3666167999999996e-5,0.6831,0.1496,5,235.3,0.02067278571428571,1.1e-6,2.274006428571429e-8,1
DTXSID0024000,Chlorthal-dimethyl,0.8632,111.5,0.017879744,0.6549,0.005023,5,332,0.00477131428571428,4.19e-6,1.999180685714286e-8,1
DTXSID0024002,Fenpropathrin,0.8698,504.2,0.06352819999999999,0.6753,2.581e-4,5,349.4,6.249268571428573e-4,9.14e-6,5.711831474285716e-9,1
DTXSID0024052,Dimethipin,0.8719,0,0.01256021399999999,0.9293,0.9327,5,210.3,0.8712428571428573,6.59e-6,5.741490428571429e-6,6
DTXSID0024216,Nitrapyrin,0.8712,367.5,0.35522213999999996,0.5604,1e-4,5,230.9,0.00146126714285714,0.00256,3.7408438857142865e-6,1
DTXSID0024266,Pirimiphos-methyl,0.8611,132.4,0.013421289,0.644,0.005255,5,305.3,0.00406485142857142,1.14e-7,4.6339306285714286e-10,1
DTXSID0024345,Triasulfuron,0.8663,15.42,1.5212325e-4,0.5693,0.02305,5,401.8,0.03398079999999998,4.71e-7,1.6004956799999993e-8,1
DTXSID0025523,Maltol,0.7194,22.73,0,0.7738,0.5186,5,126.1,0.0184106,2.79e-5,5.1365574e-7,1
DTXSID0026252,Triphenyl phosphite,0.8695,211.1,0.06869465,0.6552,7.103e-4,5,310.3,0.00174964871428571,9.41e-7,1.6464194401428568e-9,1
DTXSID0026915,1-Undecanol,0.8678,112.2,0.08407919,0.6829,0.002296,5,172.3,0.00389890285714285,1.09e-4,4.249804114285716e-7,1
DTXSID0026967,Diethylene glycol dibenzoate,0.4376,1196,1.0635233e-6,0.6778,0.04616,5,314.3,2.29888e-4,7.68e-5,1.7655398399999996e-8,1
DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,0.3132,617.3,8.442361999999999e-7,0.8069,0.1608,5,281.1,3.144304285714285e-4,1.07e-5,3.3644055857142846e-9,1
DTXSID0032029,Scopolamine hydrobromide,0.8253,6.598,5.667787e-6,0.8104,0.4762,5,384.3,0.06889950000000002,1.2e-6,8.267940000000003e-8,1
DTXSID0032493,Triadimenol,0.8719,0,0.15105169,0.6833,0.07279,5,295.8,0.33636685714285713,1.38e-6,4.6418626285714294e-7,6
DTXSID0032497,Triclopyr,0.8719,0,0.09096779,17.59,0.01923,5,256.5,0.00173613857142857,2.19e-7,3.80214347142857e-10,3
DTXSID0032520,Azoxystrobin,0.9624,38.67,1.6352771e-4,0.6076,0.04291,5,403.4,0.01538682857142857,1.62e-7,2.4926662285714283e-9,1
DTXSID0032572,Prallethrin,0.8669,79.08,0.04006869,0.6793,0.004027,5,300.4,0.00598654285714285,1.82e-7,1.0895507999999995e-9,1
DTXSID0032578,Thiodicarb,0.1629,901.8,0,0.6895,0.2685,5,354.5,1.1030014285714283e-4,1.2e-6,1.323601714285714e-10,1
DTXSID0032601,Cyproconazole,0.8697,1.989,0.09295783,0.8356,0.06692,5,291.8,0.17799800000000002,2.83e-7,5.0373434e-8,2
DTXSID0032605,(+-)-Diclofop-methyl,0.8719,0,0.12950567999999998,0.6462,0.001797,5,341.2,0.00828628571428571,1.21e-6,1.0026405714285714e-8,3
DTXSID0032651,Thidiazuron,0.9718,5.353,0.05154968999999999,0.7288,0.02817,5,220.2,0.10223571428571422,3.31e-7,3.3840021428571415e-8,1
DTXSID0032655,Triticonazole,0.97,8.802,0.033914874,0.8557,0.05018,5,317.8,0.06301519999999998,4.79e-7,3.018428079999999e-8,1
DTXSID0034192,17beta-Trenbolone,0.8193,45.02,7.336359e-5,0.6521,0.07936,5,270.4,0.01120228571428571,1.2e-6,1.3442742857142857e-8,1
DTXSID0034223,Tebufenpyrad,0.8687,67.37,0.05174104,0.6763,0.003022,5,333.9,0.00600543,2.37e-7,1.42328691e-9,1
DTXSID0034227,Icaridin,0.9477,14.26,6.609229e-4,1.021,0.2818,5,229.3,0.03930857142857143,3.81e-7,1.4976565714285715e-8,1
DTXSID0034300,Acetamiprid,0.9728,0,0.08580133999999999,0.8714,0.4468,5,222.7,0.9410665714285712,5.99e-7,5.636988762857141e-7,6
DTXSID0034722,Topramezone,0.8629,8.653,0.01545725299999999,0.7131,0.06645,5,363.4,0.05762485714285714,4.43e-7,2.5527811714285713e-8,1
DTXSID0034803,Penoxsulam,0.6953,0,0.5996909,0.5626,0.01009,5,483.4,0.37636142857142857,5.02e-8,1.8893343714285715e-8,4
DTXSID0034855,Fluazifop-P-butyl,0.835,864.3,0.0010956701,0.646,0.00284,5,383.4,6.096060000000001e-4,2.77e-7,1.6886086200000002e-10,1
DTXSID0034930,Fosthiazate,0.8719,0,0.06211220999999999,0.8166,0.3962,5,283.3,0.851518857142857,4.97e-7,4.232048719999999e-7,6
DTXSID0036508,Medroxyprogesterone,0.8577,35.45,0.00797929499999999,0.6724,0.02591,5,344.5,0.01491192857142856,1.2e-6,1.7894314285714277e-8,1
DTXSID0037237,Glybenclamide,0.99,9.265,0.04297720999999999,0.56,0.01718,5,494,0.05984457142857143,6.09e-7,3.6445344e-8,1
DTXSID0037495,Deisopropylatrazine,0.9729,0,0.07952506,0.7915,0.4381,5,173.6,0.96968,4.79e-6,4.6447672e-6,6
DTXSID0037522,Dialifor,0.8679,101.9,0.037979148,0.6712,0.002422,5,393.8,0.00434305142857142,1.74e-7,7.556909485714285e-10,1
DTXSID0039223,Aldicarb,0.8719,0,0.032273091,0.7328,0.476,5,190.3,0.8726614285714286,3.03e-6,2.6441641285714283e-6,6
DTXSID0040464,Docetaxel,0.8571,25.5,3.0968084e-4,0.5983,0.03729,5,807.9,0.02061299142857143,1.2e-6,2.4735589714285717e-8,1
DTXSID0040701,Triethyl citrate,0.7601,22.71,0,0.6761,0.3601,5,276.3,0.01965677142857143,2.35e-6,4.619341285714286e-8,1
DTXSID0040707,4-Pentylaniline,0.8647,27.71,0.03413684,0.6171,0.01662,5,163.3,0.01917608571428572,1.79e-5,3.432519342857144e-7,1
DTXSID0041060,Levofloxacin,1,3.168,1.60734e-9,1.05,0.7499,5,361.4,0.15798342857142852,1.2e-6,1.8958011428571427e-7,2
DTXSID0041068,MS-275,0.8709,0.8254,0.09663175,0.63,0.06826,5,376.4,0.3247794285714286,1.2e-6,3.897353142857143e-7,2
DTXSID0041141,o-(Chloroacetylcarbamoyl)fumagillol,0.8548,35.81,0.00577877,0.6997,0.03098,5,401.9,0.01475547142857142,3.88e-7,5.725122914285713e-9,1
DTXSID0041145,Trovafloxacin,0.931,6.533,6.54417e-9,0.6285,0.2399,5,416.4,0.07971085714285714,1.2e-6,9.565302857142857e-8,1
DTXSID0042080,Isoxathion,0.866,39.81,0.026027427,0.6197,0.009524,5,313.3,0.01329734714285714,3.31e-7,4.401421904285714e-9,1
DTXSID0042400,Sodium hexyldecyl sulfate,0.8409,24.51,4.102544e-5,0.6289,0.08347,5,344.5,0.02086685714285713,4.12e-6,8.59714514285714e-8,1
DTXSID0042583,N-{[(2S)-1-Ethylpyrrolidin-2-yl]methyl}-2-methoxy-5-sulfamoylbenzamide,0.8075,6.587,1.6972745e-4,1.149,0.6727,5,341.4,0.0675972,1.2e-6,8.111664e-8,1
DTXSID0042614,Tetrabenazine,0.8499,9.784,0.007975468,1.078,0.1467,5,317.4,0.05092002857142859,1.2e-6,6.11040342857143e-8,1
DTXSID0044280,Quinine,0.816,1.565,0.03849962,0.91,0.1712,5,324.4,0.1904691428571428,1.2e-6,2.285629714285714e-7,2
DTXSID0045179,Nimustine,0.7018,22.8,3.827e-11,0.8107,0.5911,5,272.7,0.01784237142857142,1.2e-6,2.1410845714285708e-8,1
DTXSID0045412,Benserazide hydrochloride,0.8719,0,0.0035449501,0.7096,0.642,5,293.7,0.8701911428571427,6.38e-6,5.55181949142857e-6,6
DTXSID0045599,Ceftazidime pentahydrate,0.8719,0,0.008472978,0.6705,0.374,5,636.6,0.8712325714285716,1.2e-6,1.0454790857142858e-6,6
DTXSID0045703,Oxcarbazepine,0.8529,6.785,2.4703284999999997e-4,0.6691,0.182,5,252.3,0.07111255714285711,1.2e-6,8.533506857142854e-8,1
DTXSID0045832,"Isosorbide 2,5-dinitrate",0.8719,0,0.013367711,1,0.7176,5,236.1,0.8735700000000001,8.29e-6,7.2418953e-6,6
DTXSID0046010,Acivicin,0.8719,0,0.015740451,0.8273,0.7373,5,178.6,0.8725885714285713,1.2e-6,1.0471062857142854e-6,6
DTXSID0046779,Darunavir,0.854,23.54,2.0822707e-6,0.5863,0.04945,5,547.7,0.02214272857142857,1.2e-6,2.6571274285714283e-8,1
DTXSID0047290,UK-416244,0.8549,34.13,0.00568309499999999,0.6829,0.03235,5,366.5,0.01544535714285714,1.2e-6,1.853442857142857e-8,1
DTXSID0047294,CP-863187,0.9687,6.868,0.0016104016,0.6208,0.09258,5,340.3,0.0806511,1.92e-7,1.54850112e-8,1
DTXSID0047296,Zenarestat,0.9045,6.536,0.08251012,0.5685,0.0091,5,441.6,0.07948800000000002,1.2e-6,9.538560000000002e-8,1
DTXSID0047371,AVE5638,0.8649,54.14,0.02065431899999999,0.6737,0.008227,5,402.5,0.009476,1.2e-6,1.1371200000000004e-8,1
DTXSID0047375,AVE9423,0.8619,23.02,1.4408655e-4,0.6045,0.02766,5,505.2,0.02295051428571429,1.2e-6,2.754061714285715e-8,1
DTXSID0047456,"2-Norbornene-5,6-dicarboxylic anhydride",0.8719,0,0.04994234999999999,0.772,0.4757,5,164.2,0.8726057142857142,2.15e-5,1.8761022857142857e-5,6
DTXSID0047535,Butyryl-n-trihexylcitrate,0.865,48.79,0.015606506,0.6575,0.009017,5,514.7,0.01065429,0.00162,1.72599498e-5,1
DTXSID0048505,PharmaGSID_48505,0.8719,0,0.28648922,0.5877,0.01189,5,353.8,0.14000371428571426,1.2e-6,1.680044571428571e-7,3
DTXSID0048509,PharmaGSID_48509,0.8401,17.85,0.0019341658,1.078,0.1177,5,413.6,0.02847931428571429,1.2e-6,3.4175177142857156e-8,1
DTXSID0048634,Triamcinolone hexacetonide,0.8563,31.94,0.0035204573,0.6558,0.03153,5,532.6,0.01655625142857143,1.2e-6,1.9867501714285715e-8,1
DTXSID0048898,Psilocybin,0.8719,0,0.01549935,0.8832,0.7009,5,284.3,0.8728009999999999,1.2e-6,1.0473611999999998e-6,6
DTXSID0057627,Dapoxetine,0.8154,137.4,1.2992665e-4,0.7708,0.02802,5,305.4,0.00371715428571428,1.2e-6,4.460585142857142e-9,1
DTXSID1020069,o-Aminoazotoluene,0.8707,19.49,0.1515492,0.6256,0.003616,5,225.3,0.01435482857142857,2.11e-6,3.0288688285714285e-8,1
DTXSID1020140,Sodium benzoate,0.838,6.592,6.957486e-8,0.7048,0.341,5,144.1,0.07060900000000002,2.06e-5,1.4545454000000004e-6,1
DTXSID1020221,"4-(1,1-Dimethylethyl)phenol",0.8471,39.63,0.015732797,1.277,0.04099,5,150.2,0.01323905714285713,8.12e-7,1.0750114399999995e-8,1
DTXSID1020350,2-Methoxy-5-methylaniline,0.927,21.5,4.6498049999999994e-6,0.7922,0.3479,5,137.2,0.02551919999999999,1.01e-4,2.5774391999999987e-6,1
DTXSID1020510,"7,12-Dimethylbenz(a)anthracene",0.8715,100.8,0.13161053,0.6777,2.095e-4,5,256.3,7.139785714285713e-4,6.79e-6,4.8479145e-9,1
DTXSID1020560,Endosulfan,0.8692,9.773,0.05862964,0.8364,0.0171,5,406.9,0.03726041428571428,5.75e-10,2.142473821428571e-11,1
DTXSID1020699,4-Hexylresorcinol,0.8591,34.08,0.014523465,0.6515,0.02422,5,194.3,0.01557175714285714,1.2e-5,1.8686108571428574e-7,1
DTXSID1020803,Meloxicam,0.909,6.58,0.968231,1.22,0.003,5,351.4,0.06812139999999998,2.38e-7,1.6212893199999997e-8,1
DTXSID1020807,2-Mercaptobenzothiazole,0.8586,40.01,1.657091e-6,0.5713,0.02144,5,167.2,0.01330434285714285,3.24e-5,4.310607085714286e-7,1
DTXSID1020855,Methyl parathion,0.8648,17.26,0.009601943,0.5906,0.02612,5,263.2,0.0303808,1.18e-7,3.5849344e-9,1
DTXSID1020932,Nicotinic acid,0.8379,3.795,2.476069e-8,0.741,0.594,5,123.1,0.1129002857142857,6.13e-5,6.920787514285714e-6,2
DTXSID1021087,Oxazepam,0.9393,3.762,0.06636017999999999,0.66,0.03812,5,286.7,0.13392985714285716,1.2e-6,1.607158285714286e-7,2
DTXSID1021116,Phenacetin,0.9403,10.19,1.3937934e-5,1.01,0.5143,5,179.2,0.05268480000000002,4.26e-7,2.244372480000001e-8,1
DTXSID1021160,Picloram,0.8719,0,0.07879793,0.6577,0.2276,5,241.4,0.871798857142857,3.66e-7,3.1907838171428565e-7,6
DTXSID1021166,Piperonyl butoxide,0.8598,382.2,0.011706793,0.6645,0.00204,5,338.4,0.00141161142857142,9.37e-7,1.3226799085714287e-9,1
DTXSID1021322,Tetraethylthiuram disulfide,0.8397,57.83,0.0026819616,0.7684,0.0368,5,296.5,0.00901783571428571,1.2e-7,1.082140285714285e-9,1
DTXSID1021455,C.I. Acid Yellow 23,0.8602,10.39,3.6207247e-7,0.5824,0.072,5,534.4,0.04878308571428572,1.48e-6,7.219896685714286e-8,1
DTXSID1021744,Thiopental sodium,0.7791,23.28,7.3861099999999994e-9,0.7454,0.2845,5,264.3,0.01993577142857143,1.2e-6,2.3922925714285723e-8,1
DTXSID1021798,Quinoline,0.7667,43.49,2.0225695e-6,0.6694,0.1756,5,129.2,0.01074205714285713,3.75e-5,4.028271428571425e-7,1
DTXSID1021821,2-Butanone oxime,0.8719,0,0.06421705999999999,0.7545,0.5227,5,87.12,0.8712,3.99e-5,3.476088e-5,6
DTXSID1021952,Triphenyl phosphate,0.9595,108.9,0.06842676,0.6181,0.001576,5,326.3,0.00461947571428571,2.3e-7,1.0624794142857136e-9,1
DTXSID1021956,Di-n-octyl phthalate,0.8719,0,0.05648652,15.69,1.362e-4,5,390.6,1.3046040000000005e-5,3.94e-6,5.1401397600000017e-11,3
DTXSID1022053,"4,6-Dinitro-o-cresol",0.8717,3.069,1.4366557999999998,0.5647,0.002637,5,198.1,0.0992764,5.78e-6,5.73817592e-7,2
DTXSID1022265,Alachlor,0.824,102.4,0.00112858229999999,0.8531,0.03157,5,269.8,0.00503755142857143,2.7e-7,1.3601388857142863e-9,1
DTXSID1022267,Methomyl,0.9632,2.161,1.6984226e-4,0.878,0.7016,5,162.2,0.20668914285714293,3.86e-7,7.978200914285717e-8,2
DTXSID1022556,Acyclovir,0.2415,0,0.004309202,1.08,0.8499,5,225.2,0.24128571428571424,2.06e-6,4.970485714285714e-7,5
DTXSID1022558,Adenosine,0.8719,0,0.00929961,0.8377,0.7736,5,267.2,0.8710720000000001,1.65e-6,1.4372688e-6,6
DTXSID1022714,Butorphanol,0.8533,78.14,0.007749675,0.756,0.01545,5,327.5,0.00680732142857142,1.2e-6,8.168785714285715e-9,1
DTXSID1022845,Clonazepam,1,17.62,3.861443e-4,0.7129,0.1525,5,315.7,0.03400539999999999,1.2e-6,4.0806479999999996e-8,1
DTXSID1023027,Etidocaine,0.8603,38.73,0.012851066,0.6,0.01921,5,276.4,0.01370154285714285,1.2e-6,1.6441851428571432e-8,1
DTXSID1023102,Glutethimide,0.7928,23.85,1.090695e-6,0.7023,0.2326,5,217.3,0.01989847142857142,1.2e-6,2.3878165714285706e-8,1
DTXSID1023231,Lysergide,0.8375,28.41,0.0012395653,0.7058,0.08008,5,323.4,0.01806419999999999,1.2e-6,2.1677039999999992e-8,1
DTXSID1023287,Methohexital,0.8719,0,0.10076491,0.7,0.2411,5,262.3,0.8213737142857145,1.91e-7,1.568823794285715e-7,6
DTXSID1023310,Metrizamide,0.8719,0,0.0021867478,0.6669,0.485,5,789.1,0.8713918571428573,1.2e-6,1.0456702285714288e-6,6
DTXSID1023362,Nialamide,0.8409,6.594,4.9636190000000005e-6,0.7006,0.31,5,298.3,0.07099539999999999,1.2e-6,8.519447999999998e-8,1
DTXSID1023441,Perphenazine,0.8569,34.29,0.005966293,0.6694,0.0283,5,404,0.01543857142857142,1.2e-6,1.8526285714285704e-8,1
DTXSID1023734,Valpromide,0.8719,0,0.04347471999999999,0.7805,0.529,5,143.2,0.8714742857142856,1.18e-6,1.028339657142857e-6,6
DTXSID1023819,Stavudine,0.8719,0,0.00815150999999999,0.9229,0.9987,5,224.2,0.8743799999999999,1.2e-6,1.049256e-6,6
DTXSID1023869,Ametryn,0.9718,41.65,0.06857984,0.6436,0.003847,5,227.3,0.01451472857142856,2.23e-6,3.2367844714285705e-08,1
DTXSID1023990,Cyanazine,0.9675,3.629,0.008782965,0.7619,0.2282,5,240.7,0.14029371428571433,3.04e-7,4.2649289142857165e-8,2
DTXSID1023996,Cyclohexylamine,0.8719,0,0.16237961,1.137,0.6139,5,99.18,0.8458637142857143,4.38e-6,3.704883068571429e-6,6
DTXSID1023998,Cypermethrin,0.8697,1023,0.04125506,1.026,1.323e-4,5,416.3,1.5605302857142863e-4,2.69e-7,4.1978264685714303e-11,1
DTXSID1024045,Diethyl sulfate,0.8719,0,0.05644825,0.8924,0.6311,5,154.2,0.8701285714285714,1.94e-5,1.6880494285714285e-5,6
DTXSID1024097,2-Butoxyethanol,0.8182,4.555,1.0087972e-5,0.9456,0.8003,5,118.2,0.09354685714285713,2.52e-4,2.3573807999999993e-5,1
DTXSID1024126,Heptachlor epoxide B,0.8719,0,0.09904276,0.6706,0.001265,5,389.3,0.00490518,8.46e-8,4.14978228e-10,3
DTXSID1024174,Tribufos,0.8584,3204,0.011695312,0.6817,2.722e-4,5,314.5,1.675835714285714e-4,2.99e-7,5.010748785714286e-11,1
DTXSID1024259,Phosalone,0.8681,80.6,0.04110198,0.6289,0.002945,5,367.8,0.00603191999999999,1.46e-7,8.806603199999998e-10,1
DTXSID1024338,Thiophanate-methyl,0.966,2.667,9.701445e-4,0.7872,0.3963,5,342.4,0.17853714285714284,1.43e-7,2.5530811428571425e-8,2
DTXSID1024621,Diethylene glycol dimethyl ether,0.8719,0,0.034707063,0.7807,0.572,5,134.2,0.8723,1.49e-5,1.299727e-5,6
DTXSID1025017,Dicumyl peroxide,0.8694,378.8,0.07588941,0.6741,4.028e-4,5,270.4,9.182011428571428e-4,2.2e-6,2.0200425142857144e-9,1
DTXSID1025271,N-Ethylaniline,0.9458,24.88,8.201260999999999e-5,0.7093,0.1748,5,121.2,0.02292411428571429,1.52e-5,3.4844653714285725e-7,1
DTXSID1025805,Octhilinone,0.8656,15.07,0.01210097399999999,0.5883,0.02667,5,213.3,0.03467648571428573,4.99e-6,1.7303566371428577e-7,1
DTXSID1026031,Sodium dodecyl sulfate,0.8203,23.67,1.0478325999999998e-6,0.6556,0.1476,5,288.4,0.02088839999999999,0.00572,1.19481648e-4,1
DTXSID1026081,"3,3',5,5'-Tetrabromobisphenol A",0.8675,1115,0.024573167,0.6538,2.497e-4,5,543.9,4.2579599999999993e-4,1.28e-7,5.4501888e-11,1
DTXSID1026164,2-Methylaniline,0.8719,0,0.08981969,0.9199,0.6431,5,107.2,0.8698514285714285,5.12e-6,4.453639314285714e-6,6
DTXSID1026665,3-Pyridinecarbonitrile,0.8719,0,0.07941025,0.7542,0.4486,5,104.1,0.8714657142857141,2.58e-6,2.248381542857142e-6,6
DTXSID1026792,3-Methylaniline,0.6611,35.54,4.458455e-8,0.848,0.4989,5,107.2,0.01099565714285714,9.67e-6,1.0632800457142857e-7,1
